user_id,day_1,day_7,day_30,churned,cohort_week,broke_streak_week1,current_streak
u0001,true,true,false,false,1,false,8
u0002,true,false,false,true,1,true,0
u0003,true,false,false,true,1,false,7
u0004,true,false,false,true,1,false,11
u0005,true,false,false,true,1,false,7
u0006,true,false,false,true,1,true,0
u0007,false,true,false,false,1,false,17
u0008,true,false,false,true,1,true,0
u0009,true,true,false,false,1,false,12
u0010,true,false,false,true,1,false,9
u0011,true,false,false,true,1,true,0
u0012,true,false,false,true,1,true,0
u0013,true,false,true,true,1,false,8
u0014,true,false,false,true,1,false,4
u0015,false,false,false,true,1,false,14
u0016,true,false,false,true,1,false,8
u0017,true,true,true,false,1,false,8
u0018,true,false,false,true,1,false,10
u0019,true,false,false,true,1,false,13
u0020,true,false,false,true,1,true,0
u0021,true,false,false,true,1,false,10
u0022,true,false,false,true,1,true,0
u0023,true,false,false,true,1,true,0
u0024,true,false,false,true,1,true,0
u0025,false,false,false,true,1,false,14
u0026,false,false,true,true,1,false,12
u0027,true,false,false,true,1,false,5
u0028,false,false,false,true,1,false,5
u0029,true,false,false,true,1,false,7
u0030,true,false,false,true,1,true,0
u0031,true,false,true,true,1,false,8
u0032,true,false,false,true,1,false,6
u0033,true,false,false,true,1,false,5
u0034,true,true,true,false,1,false,20
u0035,true,true,false,false,1,true,0
u0036,true,false,false,true,1,true,0
u0037,true,true,false,false,1,false,18
u0038,true,true,false,false,1,false,16
u0039,true,true,true,false,1,false,17
u0040,true,true,false,false,1,false,16
u0041,true,false,false,true,1,false,4
u0042,true,true,true,false,1,false,14
u0043,true,false,false,true,1,false,3
u0044,true,false,false,true,1,false,10
u0045,true,true,false,false,1,false,18
u0046,true,true,false,false,1,false,12
u0047,true,true,false,false,1,true,0
u0048,true,false,false,true,1,false,7
u0049,true,false,false,true,1,true,0
u0050,true,false,false,true,1,false,5
u0051,true,false,false,true,1,false,9
u0052,false,true,true,false,1,true,0
u0053,true,false,false,true,1,true,0
u0054,true,true,false,false,1,true,0
u0055,true,true,false,false,1,false,19
u0056,true,true,false,false,1,false,12
u0057,true,true,false,false,1,false,14
u0058,true,true,false,false,1,false,12
u0059,true,false,false,true,1,false,3
u0060,true,false,false,true,1,false,3
u0061,true,true,false,false,1,false,15
u0062,true,true,false,false,1,true,0
u0063,false,false,false,true,1,false,7
u0064,true,false,false,true,1,true,0
u0065,true,false,false,true,1,false,4
u0066,false,false,false,true,1,true,0
u0067,true,false,false,true,1,false,9
u0068,true,true,false,false,1,false,8
u0069,true,false,false,true,1,true,0
u0070,true,false,false,true,1,false,4
u0071,true,false,false,true,1,true,0
u0072,true,true,false,false,1,false,16
u0073,true,false,false,true,1,false,13
u0074,true,true,false,false,1,true,0
u0075,true,true,false,false,1,false,20
u0076,true,false,false,true,1,false,11
u0077,true,true,false,false,1,false,13
u0078,true,true,false,false,1,false,14
u0079,true,true,false,false,1,false,12
u0080,true,false,false,true,1,false,8
u0081,true,false,false,true,2,true,0
u0082,true,false,false,true,2,true,0
u0083,true,true,false,false,2,false,18
u0084,true,false,false,true,2,false,12
u0085,true,true,false,false,2,false,9
u0086,true,true,false,false,2,false,9
u0087,true,true,false,false,2,false,17
u0088,true,false,false,true,2,false,14
u0089,true,true,false,false,2,false,20
u0090,true,false,false,true,2,false,6
u0091,true,false,false,true,2,false,4
u0092,true,true,false,false,2,false,10
u0093,false,false,false,true,2,false,8
u0094,true,false,false,true,2,false,9
u0095,true,false,false,true,2,true,0
u0096,true,false,false,true,2,true,0
u0097,true,true,false,false,2,false,18
u0098,true,false,false,true,2,true,0
u0099,false,false,false,true,2,false,9
u0100,true,false,false,true,2,false,5
u0101,true,true,true,false,2,true,0
u0102,true,false,true,true,2,true,0
u0103,true,false,false,true,2,false,12
u0104,true,false,false,true,2,true,0
u0105,true,false,false,true,2,true,0
u0106,true,false,false,true,2,true,0
u0107,true,false,false,true,2,true,0
u0108,true,false,false,true,2,false,11
u0109,false,false,false,true,2,false,8
u0110,true,true,true,false,2,false,16
u0111,true,false,false,true,2,true,0
u0112,true,true,false,false,2,false,8
u0113,true,false,false,true,2,false,4
u0114,true,true,false,false,2,false,19
u0115,true,false,false,true,2,false,12
u0116,true,true,true,false,2,true,0
u0117,true,true,false,false,2,false,16
u0118,true,false,false,true,2,false,10
u0119,true,true,false,false,2,false,12
u0120,true,true,false,false,2,false,10
u0121,true,false,false,true,2,true,0
u0122,true,true,false,false,2,false,11
u0123,true,true,true,false,2,false,16
u0124,true,false,false,true,2,false,10
u0125,true,true,false,false,2,false,15
u0126,true,false,false,true,2,false,8
u0127,true,false,false,true,2,false,8
u0128,true,true,true,false,2,false,13
u0129,true,false,true,true,2,true,0
u0130,true,false,false,true,2,true,0
u0131,true,false,false,true,2,true,0
u0132,true,true,false,false,2,false,10
u0133,true,false,false,true,2,false,5
u0134,true,true,false,false,2,false,8
u0135,false,false,false,true,2,false,9
u0136,true,true,false,false,2,true,0
u0137,true,false,false,true,2,false,5
u0138,true,true,false,false,2,true,0
u0139,true,true,false,false,2,true,0
u0140,true,false,false,true,2,true,0
u0141,true,false,false,true,2,true,0
u0142,true,true,false,false,2,false,14
u0143,true,false,false,true,2,true,0
u0144,true,false,false,true,2,true,0
u0145,false,false,false,true,2,false,4
u0146,true,true,false,false,2,true,0
u0147,false,true,false,false,2,false,8
u0148,true,false,true,true,2,true,0
u0149,true,false,false,true,2,false,12
u0150,true,true,false,false,2,false,8
u0151,true,false,false,true,2,false,10
u0152,true,false,false,true,2,false,5
u0153,true,true,false,false,2,true,0
u0154,false,false,false,true,2,true,0
u0155,true,false,false,true,2,false,11
u0156,true,true,false,false,2,false,12
u0157,true,false,false,true,2,true,0
u0158,true,false,false,true,2,true,0
u0159,true,false,false,true,2,false,7
u0160,true,false,false,true,2,true,0
u0161,true,false,false,true,3,true,0
u0162,true,false,false,true,3,false,12
u0163,true,false,false,true,3,false,10
u0164,true,false,false,true,3,false,3
u0165,true,true,false,false,3,true,0
u0166,true,false,false,true,3,true,0
u0167,true,true,false,false,3,true,0
u0168,true,false,false,true,3,false,11
u0169,true,true,false,false,3,true,0
u0170,true,false,false,true,3,false,5
u0171,true,false,true,true,3,true,0
u0172,true,false,false,true,3,false,5
u0173,true,true,false,false,3,true,0
u0174,true,true,false,false,3,false,19
u0175,true,false,false,true,3,true,0
u0176,true,false,false,true,3,true,0
u0177,true,false,false,true,3,true,0
u0178,true,false,false,true,3,true,0
u0179,true,false,false,true,3,false,11
u0180,true,true,false,false,3,false,21
u0181,true,false,false,true,3,false,5
u0182,true,true,false,false,3,false,16
u0183,true,false,false,true,3,true,0
u0184,true,true,true,false,3,false,12
u0185,true,false,false,true,3,false,7
u0186,true,false,false,true,3,false,8
u0187,true,false,false,true,3,false,11
u0188,true,false,false,true,3,true,0
u0189,true,true,false,false,3,false,7
u0190,true,false,false,true,3,false,8
u0191,true,false,false,true,3,false,13
u0192,true,false,false,true,3,false,4
u0193,true,false,false,true,3,false,9
u0194,true,false,true,true,3,true,0
u0195,true,false,false,true,3,false,3
u0196,true,true,false,false,3,false,16
u0197,true,true,false,false,3,false,21
u0198,true,false,false,true,3,false,9
u0199,true,true,false,false,3,false,15
u0200,false,false,false,true,3,true,0
u0201,true,true,false,false,3,true,0
u0202,true,false,false,true,3,true,0
u0203,true,false,false,true,3,true,0
u0204,true,false,false,true,3,true,0
u0205,true,false,false,true,3,true,0
u0206,true,false,false,true,3,false,11
u0207,true,false,false,true,3,false,13
u0208,true,false,false,true,3,true,0
u0209,false,true,true,false,3,false,17
u0210,true,true,false,false,3,false,12
u0211,false,true,false,false,3,false,8
u0212,true,true,false,false,3,false,16
u0213,true,false,false,true,3,true,0
u0214,true,false,false,true,3,false,5
u0215,false,true,false,false,3,false,18
u0216,true,false,false,true,3,false,3
u0217,true,false,false,true,3,false,12
u0218,true,false,false,true,3,false,4
u0219,true,false,false,true,3,true,0
u0220,true,true,false,false,3,false,21
u0221,true,false,false,true,3,true,0
u0222,true,false,false,true,3,false,5
u0223,true,false,false,true,3,true,0
u0224,true,false,false,true,3,true,0
u0225,true,false,false,true,3,true,0
u0226,true,false,false,true,3,false,7
u0227,true,false,false,true,3,false,14
u0228,true,true,false,false,3,false,17
u0229,true,false,false,true,3,false,11
u0230,true,false,false,true,3,true,0
u0231,true,true,false,false,3,false,15
u0232,true,false,false,true,3,true,0
u0233,false,false,false,true,3,true,0
u0234,true,true,false,false,3,false,10
u0235,true,false,false,true,3,true,0
u0236,true,false,false,true,3,true,0
u0237,true,true,false,false,3,true,0
u0238,false,false,false,true,3,false,10
u0239,true,false,false,true,3,false,11
u0240,true,false,true,true,3,false,6
u0241,true,false,false,true,4,false,12
u0242,true,false,false,true,4,false,6
u0243,true,true,false,false,4,false,20
u0244,true,false,false,true,4,false,12
u0245,true,false,false,true,4,false,5
u0246,true,false,false,true,4,true,0
u0247,true,false,false,true,4,true,0
u0248,true,false,false,true,4,false,13
u0249,true,true,false,false,4,false,16
u0250,true,false,false,true,4,true,0
u0251,true,true,false,false,4,true,0
u0252,true,true,true,false,4,false,15
u0253,true,false,false,true,4,false,4
u0254,true,true,true,false,4,false,9
u0255,true,false,false,true,4,false,4
u0256,true,true,false,false,4,true,0
u0257,true,false,false,true,4,true,0
u0258,true,true,false,false,4,false,20
u0259,true,true,true,false,4,true,0
u0260,true,false,false,true,4,true,0
u0261,true,false,false,true,4,false,14
u0262,true,false,false,true,4,false,14
u0263,true,true,false,false,4,false,9
u0264,true,true,false,false,4,false,17
u0265,true,true,false,false,4,true,0
u0266,true,true,false,false,4,true,0
u0267,true,false,false,true,4,true,0
u0268,true,true,false,false,4,false,12
u0269,true,false,false,true,4,false,10
u0270,true,false,false,true,4,true,0
u0271,false,false,false,true,4,false,5
u0272,true,false,false,true,4,false,11
u0273,true,true,false,false,4,false,18
u0274,true,false,false,true,4,true,0
u0275,true,false,false,true,4,false,7
u0276,true,false,false,true,4,false,7
u0277,true,false,false,true,4,true,0
u0278,true,false,false,true,4,false,3
u0279,true,false,false,true,4,true,0
u0280,true,true,true,false,4,false,16
u0281,true,false,false,true,4,true,0
u0282,true,true,false,false,4,false,9
u0283,false,false,false,true,4,false,4
u0284,true,false,false,true,4,false,5
u0285,false,false,false,true,4,true,0
u0286,true,false,true,true,4,true,0
u0287,true,false,false,true,4,false,8
u0288,true,true,false,false,4,true,0
u0289,true,true,false,false,4,false,11
u0290,false,false,false,true,4,false,3
u0291,true,true,false,false,4,false,9
u0292,true,false,false,true,4,true,0
u0293,true,false,false,true,4,false,4
u0294,true,true,false,false,4,false,8
u0295,true,false,false,true,4,true,0
u0296,true,false,false,true,4,false,11
u0297,true,false,false,true,4,false,9
u0298,true,true,true,false,4,true,0
u0299,true,false,false,true,4,true,0
u0300,true,false,false,true,4,false,11
u0301,false,false,false,true,4,false,6
u0302,true,false,false,true,4,false,4
u0303,true,false,false,true,4,true,0
u0304,true,false,false,true,4,false,3
u0305,true,false,false,true,4,true,0
u0306,true,false,false,true,4,false,5
u0307,true,true,false,false,4,false,7
u0308,true,true,false,false,4,false,11
u0309,true,false,false,true,4,false,8
u0310,true,false,true,true,4,true,0
u0311,true,false,false,true,4,true,0
u0312,true,false,false,true,4,false,7
u0313,true,false,false,true,4,false,6
u0314,true,false,false,true,4,true,0
u0315,true,false,false,true,4,false,7
u0316,true,false,false,true,4,false,12
u0317,true,false,false,true,4,false,14
u0318,true,false,true,true,4,true,0
u0319,true,false,false,true,4,false,13
u0320,true,false,false,true,4,false,5
u0321,true,true,true,false,5,true,0
u0322,true,true,true,false,5,true,0
u0323,true,true,true,false,5,false,9
u0324,true,true,true,false,5,false,8
u0325,true,true,true,false,5,false,7
u0326,true,true,true,false,5,false,14
u0327,true,true,true,false,5,false,10
u0328,false,true,true,false,5,false,18
u0329,true,true,true,true,5,false,13
u0330,true,true,true,false,5,false,18
u0331,true,true,true,false,5,false,7
u0332,true,false,false,true,5,false,5
u0333,true,true,true,false,5,false,18
u0334,true,true,false,false,5,false,14
u0335,true,true,false,false,5,true,0
u0336,true,true,false,false,5,false,15
u0337,true,false,false,true,5,true,0
u0338,true,true,false,false,5,false,10
u0339,false,true,false,false,5,false,18
u0340,true,true,true,false,5,true,0
u0341,true,false,false,true,5,true,0
u0342,true,true,false,false,5,false,7
u0343,true,true,false,false,5,false,8
u0344,true,true,false,false,5,false,7
u0345,true,true,false,false,5,false,11
u0346,false,true,false,false,5,false,20
u0347,true,false,true,true,5,true,0
u0348,true,false,false,true,5,true,0
u0349,true,false,false,true,5,true,0
u0350,true,false,false,true,5,true,0
u0351,true,true,true,false,5,true,0
u0352,true,true,true,false,5,true,0
u0353,true,true,false,false,5,false,7
u0354,true,true,false,false,5,true,0
u0355,true,false,false,true,5,true,0
u0356,true,true,false,false,5,false,17
u0357,true,true,true,false,5,false,18
u0358,true,false,false,true,5,true,0
u0359,true,true,false,false,5,true,0
u0360,true,true,false,false,5,false,15
u0361,true,true,false,false,5,false,16
u0362,true,true,false,false,5,false,13
u0363,true,true,false,false,5,true,0
u0364,true,false,false,true,5,true,0
u0365,true,false,false,true,5,false,10
u0366,true,true,false,false,5,true,0
u0367,true,false,false,true,5,true,0
u0368,true,true,false,false,5,false,12
u0369,true,true,true,false,5,false,20
u0370,true,true,false,false,5,false,12
u0371,true,false,false,true,5,false,11
u0372,true,false,false,true,5,true,0
u0373,true,true,true,false,5,true,0
u0374,true,false,false,true,5,true,0
u0375,true,false,false,true,5,true,0
u0376,true,true,true,false,5,false,9
u0377,true,false,false,true,5,false,8
u0378,true,true,true,false,5,false,18
u0379,true,false,false,true,5,false,4
u0380,true,false,false,true,5,true,0
u0381,true,true,true,false,5,false,14
u0382,true,true,true,false,5,false,19
u0383,true,false,false,true,5,true,0
u0384,true,true,true,false,5,false,10
u0385,true,false,false,true,5,true,0
u0386,true,false,false,true,5,true,0
u0387,true,true,true,false,5,false,12
u0388,false,true,false,false,5,true,0
u0389,true,true,false,false,5,false,18
u0390,true,true,true,false,5,false,16
u0391,true,true,false,false,5,true,0
u0392,true,false,false,true,5,false,6
u0393,true,true,false,false,5,false,18
u0394,true,false,false,true,5,false,3
u0395,true,false,false,true,5,false,9
u0396,true,false,false,true,5,true,0
u0397,false,false,false,true,5,false,10
u0398,true,false,false,true,5,false,6
u0399,true,true,false,false,5,false,16
u0400,false,true,false,false,5,true,0
u0401,false,false,false,true,5,true,0
u0402,true,true,true,false,5,true,0
u0403,true,false,false,true,5,true,0
u0404,true,false,false,true,5,false,3
